CountryName,Capital,Currency,OfficialLanguage
Afghanistan,Kabul,Afghani,Dari Persian
Albania,Tirane,Lek,Albanian
Algeria,Algiers,Dinar,Arabic
Andorra,Andorra la Vella,Euro,Catalan
Angola,Luanda,New Kwanza,Portuguese
Antigua and Barbuda,Saint John's,East Caribbean dollar,English
Argentina,Buenos Aires,Peso,Spanish
Armenia,Yerevan,Dram,Armenian
Australia,Canberra,Australian dollar,English
Austria,Vienna,Euro (formerly schilling),German
Azerbaijan,Baku,Manat,Azerbaijani
The Bahamas,Nassau,Bahamian dollar,English
Bahrain,Manama,Bahrain dinar,Arabic
Bangladesh,Dhaka,Taka,Bangla
Barbados,Bridgetown,Barbados dollar,English
Belarus,Minsk,Belorussian ruble,Belarusian
Belgium,Brussels,Euro (formerly Belgian franc),Dutch, French
Belize,Belmopan,Belize dollar,English
Benin,Porto-Novo,CFA Franc,French
Bhutan,Thimphu,Ngultrum,Dzongkha
Bolivia,La Paz (administrative), Sucre (judicial),Boliviano,Spanish, Aymara
Bosnia and Herzegovina,Sarajevo,Convertible Mark,Bosnian, Croatian
Botswana,Gaborone,Pula,English
Brazil,Brasilia,Real,Portuguese
Brunei,Bandar Seri Begawan,Brunei dollar,Malay
Bulgaria,Sofia,Lev,Bulgarian
Burkina Faso,Ouagadougou,CFA Franc,French
Burundi,Gitega,Burundi franc,Kirundi
Cambodia,Phnom Penh,Riel,Khmer
Cameroon,Yaounde,CFA Franc,French
Canada,Ottawa,Canadian dollar,English
Cape Verde,Praia,Cape Verdean escudo,Portuguese
Central African Republic,Bangui,CFA Franc,Sango
Chad,N'Djamena,CFA Franc,French, Arabic
Chile,Santiago,Chilean Peso,Spanish
China,Beijing,Chinese Yuan,Mandarin
Colombia,Bogota,Colombian Peso,Spanish
Comoros,Moroni,Franc,Comorian, Arabic
Republic of the Congo,Brazzaville,CFA Franc,French
Democratic Republic of the Congo,Kinshasa,Congolese franc,French
Costa Rica,San Jose,Colón,Spanish
Bosnia and Herzegovina,Sarajevo,Convertible Mark,Bosnian, Croatian
Botswana,Gaborone,Pula,English
Brazil,Brasilia,Real,Portuguese
Brunei,Bandar Seri Begawan,Brunei dollar,Malay
Bulgaria,Sofia,Lev,Bulgarian
Burkina Faso,Ouagadougou,CFA Franc,French
Burundi,Gitega,Burundi franc,Kirundi
Cambodia,Phnom Penh,Riel,Khmer
Cameroon,Yaounde,CFA Franc,French
Canada,Ottawa,Canadian dollar,English
Cape Verde,Praia,Cape Verdean escudo,Portuguese
Central African Republic,Bangui,CFA Franc,Sango
Chad,N'Djamena,CFA Franc,French, Arabic
Chile,Santiago,Chilean Peso,Spanish
China,Beijing,Chinese Yuan,Mandarin
Colombia,Bogota,Colombian Peso,Spanish
Comoros,Moroni,Franc,Comorian, Arabic
Republic of the Congo,Brazzaville,CFA Franc,French
Democratic Republic of the Congo,Kinshasa,Congolese franc,French
Costa Rica,San Jose,Colón,Spanish
Cote d'Ivoire,Yamoussoukro (official), Abidjan (de facto),CFA Franc,French
Croatia,Zagreb,Croatian,Kuna
Cuba,Havana,Cuban Peso,Spanish
Cyprus,Nicosia,Euro,Greek
Czech Republic,Prague,Koruna,Czech
Denmark,Copenhagen,Danish Krone,Danish
Djibouti,Djibouti,Djiboutian franc,Arabic
Dominica,Roseau,East Caribbean dollar,English
Antillean Creole,Prime Minister – Roosevelt Skerrit
Dominican Republic,Santo Domingo,Dominican Peso,Spanish
East Timor (Timor-Leste),Dili,U.S. dollar,Tetum, Portuguese
Iindonesian,Prime Minister – Xanana Gusmão
Ecuador,Quito,U.S. dollar,Spanish
Egypt,Cairo,Egyptian pound,Arabic
El Salvador,San Salvador,Colón, U.S. dollar,Spanish
Equatorial Guinea,Malabo,CFA Franc,Spanish, French, Portuguese
Eritrea,Asmara,Nakfa,Arabic, Tigrinya, English
Estonia,Tallinn,Estonia Kroon, Euro,Estonian
Ethiopia,Addis Ababa,Birr,Amharic
Fiji,Suva,Fiji dollar,English, Bau Fijian, Hindi
Finland,Helsinki,Euro (formerly markka),Finnish, Swedish
France,Paris,Euro (formerly French franc),French
Gabon,Libreville,CFA Franc,French
The Gambia,Banjul,Dalasi,English
Georgia,Tbilisi,Lari,Georgian
Germany,Berlin,Euro (formerly Deutsche mark),German
Ghana,Accra,Cedi,English
Greece,Athens,Euro (formerly drachma),Greek
Grenada,Saint George's,East Caribbean dollar,English, PatoisPrime Minister – Dickon Mitchell
Guatemala,Guatemala City,Quetzal,Spanish
President – Alejandro Giammattei
Guinea,Conakry,Guinean franc,French
Prime Minister –Bernard Goumou
Guinea-Bissau,Bissau,CFA Franc,PortuguesePrime Minister – Geraldo Martins
Guyana,Georgetown,Guyanese dollar,English
President -  Mark Phillips
Haiti,Port-au-Prince,Gourde,Haitian Creole, FrenchPrime Minister – Ariel Henry
Honduras,Tegucigalpa,Lempira,SpanishPresident – Xiomara Castro Zelaya
Hungary,Budapest,Forint,Hungarian
Prime Minister – Viktor Orbán
Iceland,Reykjavik,Icelandic króna,IcelandicPresident - Katrín Jakobsdóttir
CountryName,Capital,Currency,OfficialLanguage
India,New Delhi,Indian Rupee,Hindi, English
Prime Minister – Mr. Narendra Modi
Indonesia,Jakarta,Rupiah,Indonesian
President – Joko Widodo
Iran,Tehran,Rial,Persian
President – Ebrahim Raisi
Iraq,Baghdad,Iraqi Dinar,Arabic, Kurdish
Prime Minister - Mohammed Shia' Al Sudani
Ireland,Dublin,Euro (formerly Irish pound [punt]),English, Irish
Prime Minister-Taoiseach – Leo Varadkar
Israel,Jerusalem*,Shekel,Hebrew, Arabic
Prime Minister –Benjamin Netanyahu
Italy,Rome,Euro (formerly lira),Italian
Prime Minister – Giorgia Meloni
Ivory Coast,Yamoussoukro (official), Abidjan (de facto),CFA Franc
Prime Minister – Patrick Achi
Jamaica,Kingston,Jamaican dollar,English
Prime Minister – Andrew Holness
Japan,Tokyo,Yen,Japanese
Prime Minister –Fumio Kishida
Jordan,Amman,Jordanian dinar,Arabic
Prime Minister – Bishr Al-Khasawneh
Kazakhstan,Nur Sultan,Tenge,Kazakh, Russian
Prime Minister – Alihan Smaiylov
Kenya,Nairobi,Kenya shilling,Swahili, English
President – William Ruto
Kiribati,Tarawa Atoll,Kiribati dollar,English, Gilbertese
President – Taneti Mamau
Korea, North,Pyongyang,Won,Korean
President – Kim Jong-un
Korea, South,Seoul,Won,Korean
Prime Minister – Yoon Suk Yeol
Kosovo,Pristina,Euro (German Mark prior to 2002),Albanian, Serbian, Prime Minister –Albin Kurti
Kuwait,Kuwait City,Kuwaiti Dollar,Arabic, English, Prime Minister – Ahmad Nawaf Al-Ahmad Al-Sabah
CountryName,Capital,Currency,OfficialLanguage
Kyrgyzstan,Bishkek,Som,Kyrgyz, Russian
President - Akylbek Japarov
Laos,Vientiane,New Kip,Lao (Laotian)
Prime Minister –Sonexay Siphandone
Latvia,Riga,Lats,Latvian
Prime Minister – Evika Siliņa
Lebanon,Beirut,Lebanese pound,Arabic, French
Prime Minister –Najib Mikati
Lesotho,Maseru,Maluti,Sesotho, English
Prime Minister - Sam Matekane
Liberia,Monrovia,Liberian dollar,English,President – George Weah
Libya,Tripoli,Libyan dinar,Arabic
Prime Minister – Abdul Hamid Dbeibeh
Liechtenstein,Vaduz,Swiss franc,German
Prime Minister- Daniel Risch
Lithuania,Vilnius,Litas,Lithuanian
Prime Minister – Ingrida Šimonytė
Luxembourg,Luxembourg,Euro (formerly Luxembourg franc),German, French
Prime Minister – Xavier Bettel
Luxembourgish
Prime Minister – Xavier Bettel
Macedonia,Skopje,Denar,Macedonian
President of the Government – Stevo Pendarovski
